,0
0,0.0004238102220683471
1,0.0011074748203259888
2,0.0027445183036824625
3,0.005436847831703314
4,0.008638803308357947
5,0.012590568509479547
6,0.019395715182514935
7,0.037953126022727955
8,0.11385395633669165
9,0.18392435066913304
10,0.22299217832925142
11,0.1908612716239048
12,0.11714253224142823
13,0.08190738787236641
14,0.03491702510391521
15,0.013617716316004422
16,0.006680593428258922
17,0.003685518523644098
18,0.002215577219130274
19,0.0013046511813297854
20,0.0008432650130098352
21,0.000507552859111765
22,0.00033240592980683154
23,0.00025773654912172986
24,0.00020718233405212825
25,0.00018457974817858653
26,0.00016392712390279603
27,0.00017229375434472006
28,0.00023149609226723322
29,0.9996648360360705
30,2.966341640570238e-08
31,2.8586735233886656e-08
32,3.118866495356167e-08
33,3.7597994591257996e-08
34,4.2271390872766715e-08
35,6.150498960075382e-08
36,0.00033469063017623277
37,1.695704979818059e-11
38,2.2332448967198987e-11
39,3.2104265963001696e-11
40,6.19662481896498e-11
41,4.450663108738391e-07
42,1.6220944247183448e-13
43,2.7467554911355284e-13
44,5.635454181035677e-13
45,4.105798951512052e-09
46,7.59375220746129e-15
47,1.745663954444197e-14
48,1.1591401577143102e-10
49,2.999865048562125e-16
50,7.791197326486693e-16
51,6.937428723700396e-12
52,1.1590559294047868e-16
53,1.0812869854675145e-12
54,1.9347367679926087e-17
55,1.798999774231102e-13
56,3.2966126426396814e-18
57,2.8032625812678474e-14
58,6.896049200343311e-19
59,6.215291893344533e-15
60,2.8769036596337153e-15
61,1.2324378124875127e-15
62,6.548440515917701e-16
63,3.150559864197502e-16
64,1.4178773146212376e-16
65,8.111888673138195e-17
66,4.1084129100244464e-17
67,2.1615501885741682e-17
68,9.602590307613224e-18
69,6.875866816002738e-18
70,4.0789014990655195e-18
71,2.1618895641063244e-18
72,1.1921134285900457e-18
73,7.305195823275684e-19
74,5.175966612757605e-19
75,3.091809010002587e-19
76,1.8348014383778353e-19
77,1.1495988696867453e-19
78,7.27817486818681e-20
79,3.9075027044282196e-20
80,2.743254314497938e-20
81,1.6609757017408312e-20
82,1.0836300303477504e-20
83,7.501204608709776e-21
84,2.7402667874036667e-21
85,7.63007626077234e-22
86,2.7951043950126503e-23
87,2.163819153269552e-23
88,1.687041885052148e-23
89,1.1913740764159993e-23
90,9.865738694809505e-24
91,7.687416809306912e-24
92,5.705317035634891e-24
93,4.1585676578719365e-24
94,3.6835808194301435e-24
95,3.0076297327414708e-24
96,2.4155380752656768e-24
97,1.999329137938197e-24
98,1.6251209754697358e-24
99,1.2786349277129871e-24
100,1.035322704017868e-24
101,9.46653655455747e-25
102,8.144917589278932e-25
103,6.970145688634787e-25
104,6.185751989635524e-25
105,5.496051531633875e-25
106,4.4272261100123895e-25
107,3.4292366167217054e-25
