,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,PELT,LinReg,350000,18,1,266.7647058823529,0.5882352941176471,0.625,0.6060606060606061,0.9376399885739249,"[  105  2655  3010  3015  4095  4105  4765  5605  6675  7995  8005  8550
 11200 11215 12475 13005 13725 14401]"
1,PELT,LinReg,400000,18,1,266.7647058823529,0.5882352941176471,0.625,0.6060606060606061,0.9376399885739249,"[  105  2655  3010  3015  4095  4105  4765  5605  6675  7995  8005  8550
 11200 11215 12475 13005 13725 14401]"
2,PELT,LinReg,450000,18,1,266.7647058823529,0.5882352941176471,0.625,0.6060606060606061,0.9376399885739249,"[  105  2655  3010  3015  4095  4105  4765  5605  6675  7995  8005  8550
 11200 11215 12475 13005 13725 14401]"
3,PELT,LinReg,500000,18,1,266.7647058823529,0.5882352941176471,0.625,0.6060606060606061,0.9376399885739249,"[  105  2655  3010  3015  4095  4105  4765  5605  6675  7995  8005  8550
 11200 11215 12475 13005 13725 14401]"
