,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,PELT,l2,200000,22,5,225.14285714285714,0.5714285714285714,0.75,0.6486486486486486,0.9641366845068939,"[  115  2155  2660  3010  3015  4095  4105  4770  5610  5725  6675  7995
  8010  8530  9060 10705 11210 11215 12475 13005 13725 14401]"
1,PELT,l2,300000,20,3,245.42105263157896,0.5263157894736842,0.625,0.5714285714285714,0.9461286822329428,"[  115  2155  2660  3010  3015  4095  4105  4770  5610  5725  6675  7995
  8010  8550 11200 11215 12475 13005 13725 14401]"
2,PELT,l2,400000,18,1,265.6470588235294,0.5882352941176471,0.625,0.6060606060606061,0.9378173655577478,"[  110  2650  3010  3015  4095  4105  4770  5610  6675  7995  8010  8550
 11200 11215 12475 13005 13725 14401]"
3,PELT,l2,500000,18,1,265.6470588235294,0.5882352941176471,0.625,0.6060606060606061,0.9378173655577478,"[  110  2650  3010  3015  4095  4105  4770  5610  6675  7995  8010  8550
 11200 11215 12475 13005 13725 14401]"
4,PELT,l2,600000,17,0,156.375,0.625,0.625,0.625,0.9273717002684249,"[ 2655  3010  3015  4095  4105  4770  5610  6675  7995  8010  8550 11200
 11215 12475 13005 13725 14401]"
