,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,LinReg,8000,21,4,208.95,0.55,0.6875,0.6111111111111112,0.9680578894903781,"[  100  2150  2660  3010  3015  4095  4105  4765  5595  6670  6675  7995
  8005  8525  9055 10705 11205 12470 12560 13725 14401]"
1,WIN,LinReg,9000,9,8,277.375,0.625,0.3125,0.4166666666666667,0.8667847354014068,[  100  3010  3015  4095  4105  6675  7995 12560 14401]
