,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,ridge,2,6,0,0.0,1.0,1.0,1.0,1.0,[100 200 300 400 500 600]
1,WIN,ridge,3,6,0,0.0,1.0,1.0,1.0,1.0,[100 200 300 400 500 600]
