,0
0,0.9760175483786336
1,2.758703155088453e-07
2,0.023013285387127765
3,8.867450565413427e-09
4,0.0009020578569049309
5,4.792176885237025e-10
6,4.9623561470830694e-05
7,1.2804806384978849e-05
8,3.499688568938522e-06
9,1.0113153097776164e-06
10,3.0698554251449803e-07
11,9.751236931893904e-08
12,3.237787455580601e-08
13,1.1201738380909432e-08
14,4.00483867365116e-09
15,1.4848580645141573e-09
16,5.689871939727717e-10
17,2.2459237120365332e-10
18,9.151216965077391e-11
19,3.8366409993544664e-11
20,1.6551110055552653e-11
21,7.350670993341284e-12
22,3.354983288448631e-12
23,1.5660649091425332e-12
24,7.486152464966279e-13
25,3.672775701802687e-13
26,1.845408955628937e-13
27,9.469317330649812e-14
28,4.955009383741229e-14
29,2.654730755048276e-14
30,1.4517591560682878e-14
31,8.1005216853787e-15
32,4.618250866849884e-15
33,2.690643017428256e-15
34,1.6046373473005287e-15
35,9.702825036812054e-16
36,5.972156838283414e-16
37,3.7612876493675257e-16
38,2.411324961508624e-16
39,1.5718774328344178e-16
40,1.0414981011499394e-16
41,7.020018669199395e-17
42,4.7965469365883586e-17
43,3.329807541638707e-17
44,2.3601562078856874e-17
45,1.7062560867435206e-17
46,1.2471663576626894e-17
47,9.259803183795196e-18
48,7.017135492849606e-18
49,5.442111940932752e-18
50,4.2624608111295924e-18
51,3.3889685671907448e-18
52,2.2413912022692584e-23
53,1.1233465434126008e-23
54,7.939351471672265e-24
55,6.325984089136744e-24
56,4.379885800869582e-24
57,3.725220483181515e-24
58,3.188951335722879e-24
59,2.768537759836668e-24
60,2.4385422083507545e-24
61,2.148363216888774e-24
62,1.9620554698190995e-24
63,1.8171121037296925e-24
64,1.7087843383938544e-24
65,1.6315972739239669e-24
66,1.5522435656158265e-24
67,1.5153431744201316e-24
68,1.5082150987604101e-24
69,1.5248993864128025e-24
70,1.5677630357994226e-24
71,1.6361528214139483e-24
72,1.7254210043281564e-24
73,1.84628976931693e-24
74,2.0186916094432675e-24
75,2.2238838046490807e-24
76,2.4699864820618175e-24
77,2.8187476473498835e-24
78,3.2813249693285425e-24
79,3.865151107382052e-24
80,4.658368655880846e-24
81,5.695655264519558e-24
82,7.040899492642426e-24
83,8.882113233430598e-24
84,1.1399769776314455e-23
85,1.4807764366134854e-23
86,1.9436317561782686e-23
87,2.5852081560037157e-23
88,3.475382136225737e-23
89,4.720028312824617e-23
90,6.447503429184571e-23
91,8.939766969770666e-23
92,1.2561295230895088e-22
93,1.8338171650057836e-22
94,2.7159811025727213e-22
95,4.0710160601678603e-22
96,6.149484095050688e-22
97,9.357369140537002e-22
98,1.4446830862403312e-21
99,2.2358795403592904e-21
100,3.522446739928132e-21
101,5.667096492839412e-21
102,9.050020269749404e-21
103,1.5047971494173188e-20
104,2.573521849232218e-20
105,4.590494323775739e-20
106,8.229961613749834e-20
107,1.5094084819450235e-19
108,2.8213019823204646e-19
109,5.510749654504795e-19
110,1.1012195537584144e-18
111,2.2484295946860317e-18
112,4.7010441191275855e-18
113,1.0151727815878572e-17
114,2.2384092320784033e-17
115,5.0552553504305e-17
116,1.1738854473062879e-16
117,2.811968557131242e-16
118,6.930308137549454e-16
119,1.7507338164861732e-15
120,4.574753799368755e-15
121,1.2306074109028865e-14
122,3.414375803165028e-14
123,9.957027149983391e-14
124,3.00656972519278e-13
125,9.440533655785131e-13
126,3.088478692034344e-12
127,1.0641364290230329e-11
128,3.833754696315893e-11
129,1.47052560926192e-10
130,6.06622226456279e-10
131,2.802506016742713e-09
132,1.5879367364375787e-08
133,1.280121777910083e-07
134,1.5999928287850015e-06
135,2.9046700428163806e-05
136,0.0007045180934228949
137,0.02235062632180167
138,0.9618887913099329
139,0.015134866117798195
140,0.00016112468096709552
141,0.00014500847940446417
142,9.911433755120934e-05
143,6.440880264382842e-05
144,4.814080122749624e-05
145,4.0738110828636045e-05
146,3.373263706432742e-05
147,2.757966621547328e-05
148,2.4108780864517246e-05
149,2.998858091977144e-05
150,6.498885917220943e-05
151,0.0001754825168603382
152,0.0005136223498158907
153,0.001528925614739902
154,0.0040164212213650245
