,0
0,2.3913178543193047e-05
1,1.7163777125266843e-06
2,1.2950071452930344e-07
3,1.0388799672419805e-08
4,8.848575326283173e-10
5,7.969206071852815e-11
6,7.555755041229872e-12
7,7.510796659534743e-13
8,7.799363667064321e-14
9,8.433520884336953e-15
10,9.469295850398442e-16
11,1.1013236944661568e-16
12,1.3239010904959652e-17
13,1.6417249198947704e-18
14,2.096529787722143e-19
15,2.75287372506027e-20
16,3.711516124913159e-21
17,5.131552216180666e-22
18,7.267428953298691e-23
19,3.1817601490068085e-27
20,1.8402339282763003e-28
21,1.2434489789459975e-29
22,9.403171202248608e-31
23,7.745110168356178e-32
24,6.819211393471476e-33
25,6.330533327089434e-34
26,6.132220978194661e-35
27,6.147438785438317e-36
28,6.334354597340643e-37
29,6.668869038565022e-38
30,7.13289669553724e-39
31,7.704830421977721e-40
32,8.346722817425e-41
33,8.984561761095426e-42
34,9.475639092777843e-43
35,9.550999795329727e-44
36,8.715493182734229e-45
37,6.071321882037169e-46
38,7.609222809704586e-50
39,4.996141655320512e-51
40,3.74384700606519e-52
41,3.0678601699184157e-53
42,2.67788541713181e-54
43,1.9149141143830108e-55
44,1.821649655610942e-56
45,1.7665242720206313e-57
46,1.7341833359692734e-58
47,1.7123552992665935e-59
48,1.6893288755910163e-60
49,1.652509685751596e-61
50,1.5872248715737336e-62
51,1.4766992698456328e-63
52,1.3028436837558737e-64
53,1.0502983074960587e-65
54,7.160506822125387e-67
55,3.3046222819388972e-68
56,1.2155979198380088e-71
57,8.875886462075528e-73
58,7.072294422416371e-74
59,5.921557813253276e-75
60,5.080310830757933e-76
61,4.368574029169411e-77
62,4.0725858808945737e-78
63,3.819104959655321e-79
64,3.5800487401561784e-80
65,3.333368386241135e-81
66,3.0606448074376456e-82
67,4.071199869861882e-83
68,3.684405287344259e-84
69,3.2208724411629454e-85
70,2.675422212738741e-86
71,2.058024822675578e-87
72,1.4026499182401116e-88
73,7.746227947131272e-90
74,2.716436722079246e-91
75,2.979308905254276e-94
76,2.3648019989100904e-95
77,1.9772813987236555e-96
78,1.7108501309357063e-97
79,1.5144939270812908e-98
80,1.367853279393778e-99
81,1.269229414935283e-100
82,1.1830701919208389e-101
83,1.106671181469821e-102
84,1.0407298278133995e-103
85,9.899099913524554e-105
86,9.644443931276545e-106
87,8.094241220283903e-107
88,6.479529582355478e-108
89,4.856292261819428e-109
90,3.3114339094617466e-110
91,1.9570835040529846e-111
92,9.114787610421907e-113
93,2.618831985699807e-114
94,8.021309158786076e-117
95,6.6843149374668425e-118
96,5.781729558808445e-119
97,5.1163424527980996e-120
98,4.5990633807756345e-121
99,4.182171123828909e-122
100,3.8321001829364844e-123
101,3.506059439741306e-124
102,3.1926071047158165e-125
103,2.8808684283012425e-126
104,2.554563652270904e-127
105,2.1837952742773023e-128
106,1.7097866651460374e-129
107,1.2642375582134759e-130
108,8.653224282024884e-132
109,5.3178896527400214e-133
110,2.789795731772134e-134
111,1.1360394999208118e-135
112,2.885401153619033e-137
113,2.465766582379499e-139
114,2.1231864545683244e-140
115,1.868905821362653e-141
116,1.665720935637739e-142
117,1.4945868096535697e-143
118,1.3435934353110052e-144
119,1.203837676999095e-145
120,1.0685069907565186e-146
121,9.34480466073072e-148
122,7.994250757784663e-149
123,6.615851495185106e-150
124,5.210231786424351e-151
125,3.826140861422768e-152
126,2.6326354417216506e-153
127,1.662169525616491e-154
128,9.334930231364742e-156
129,4.4371568107483225e-157
130,1.6395496493296005e-158
131,4.1045177355046424e-160
132,8.66544250090463e-162
133,7.574910305030499e-163
134,6.692406630156039e-164
135,5.935356088838316e-165
136,5.25747681318538e-166
137,4.629554822534573e-167
138,4.032059251713716e-168
139,3.4538176417442323e-169
140,2.8923289625632602e-170
141,2.3490891061157917e-171
142,1.831619209690087e-172
143,1.3540646255267077e-173
144,9.376018371355742e-175
145,6.045993993551702e-176
146,3.555519155776115e-177
147,1.8503663788790097e-178
148,8.158816009041889e-180
149,2.8838928911455546e-181
150,8.34385382505783e-183
151,3.4703606875673034e-184
152,3.0413465086593587e-185
153,2.671415927984193e-186
154,2.3393293351577004e-187
155,2.0332398237511473e-188
156,1.7461492176660355e-189
157,1.4746493821597565e-190
158,1.2180302324956446e-191
159,9.779194205983488e-193
160,7.573946371458075e-194
161,5.6082779266237914e-195
162,3.930088214982781e-196
163,2.5799051503838153e-197
164,1.5704823874222498e-198
165,8.691628199489085e-200
166,4.2627868628188756e-201
167,1.8023702972492668e-202
168,6.60476625144591e-204
169,2.5485763776427136e-205
170,1.5863578758901215e-206
171,1.3826139310886923e-207
172,1.2002742158365255e-208
173,1.0333052892000915e-209
174,8.786068592932228e-211
175,7.347708748701961e-212
176,6.015473798433989e-213
177,4.80301728898626e-214
178,3.7288713753290464e-215
179,2.8034235928860193e-216
180,2.0315768477611623e-217
181,1.370367911398715e-218
182,8.585238932247219e-220
183,4.978276199850068e-221
184,2.6287714571044497e-222
185,1.2449064008388724e-223
186,5.3076980274483046e-225
187,2.2233928205522915e-226
188,1.172417465860402e-227
189,8.829594039906123e-229
190,7.621496735170828e-230
191,6.522404246683831e-231
192,5.512333635564694e-232
193,4.5837911607726595e-233
194,3.735088802269134e-234
195,2.9694036764289684e-235
196,2.291753712035995e-236
197,1.7073862166017528e-237
198,1.2200379549963305e-238
199,8.301300172628656e-240
200,5.3330703985546234e-241
201,3.2068977285831907e-242
202,1.7882197655821565e-243
203,9.163327833859283e-245
204,4.3317191510736735e-246
205,1.9824704733644357e-247
206,1.0112250298490774e-248
207,6.693741780539942e-250
208,5.4273395469878065e-251
209,4.622842723112337e-252
210,3.8896105487884356e-253
211,3.2217279140336425e-254
212,2.617728088098913e-255
213,2.078433931480307e-256
214,1.605783848870314e-257
215,1.2015551668294261e-258
216,8.661210751924104e-260
217,5.979080848658071e-261
218,3.9266218775412517e-262
219,2.436235554226925e-263
220,1.418288011793608e-264
221,7.713933839316486e-266
222,3.934150641962949e-267
223,1.9403211330056507e-268
224,1.0080191091347097e-269
225,6.220794530430659e-271
226,4.674772775954368e-272
227,3.8761043474759005e-273
228,3.253230888830185e-274
229,2.689825043819788e-275
230,2.183736087152964e-276
231,1.7349378019821847e-277
232,1.3439471928239435e-278
233,1.0110881295319194e-279
234,7.354083459029284e-281
235,5.146665756067656e-282
236,3.4469299047143034e-283
237,2.197238671487942e-284
238,1.3266475181033473e-285
239,7.565576920740511e-287
240,4.093305852059152e-288
241,2.1462854954396358e-289
242,1.153511534258075e-290
243,6.933278381406582e-292
244,4.9049153254583435e-293
245,3.908071943332903e-294
246,3.2441822553491335e-295
247,2.682017654833281e-296
248,2.1792122886212468e-297
249,1.735093982571194e-298
250,1.349453727235857e-299
251,1.0216220815190907e-300
252,7.500610261062731e-302
253,5.3185919929216566e-303
254,3.62708270291934e-304
255,2.3683576805622896e-305
256,1.4754247651091414e-306
257,8.755989907436225e-308
258,4.96911615732335e-309
259,2.74174638651044e-310
260,1.5285252601564e-311
261,9.17287699797e-313
262,6.2453278506e-314
263,4.783315616e-315
264,3.8956955e-316
265,3.2103556e-317
266,2.614526e-318
267,2.0889e-319
268,1.6324e-320
269,1.245e-321
270,9e-323
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
