,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,normal,0,8,4,12.857142857142858,1.0,0.6363636363636364,0.7777777777777778,0.9295918367346939,[ 55 150 225 325 400 500 580 700]
1,WIN,normal,1,2,10,0.0,1.0,0.09090909090909091,0.16666666666666669,0.718,[325 700]
2,WIN,normal,2,2,10,0.0,1.0,0.09090909090909091,0.16666666666666669,0.718,[325 700]
3,WIN,normal,3,1,11,,0.0,0.0,0.0,0.8732040816326531,[700]
4,WIN,normal,4,1,11,,0.0,0.0,0.0,0.8732040816326531,[700]
