,0
0,3.229317277412452e-05
1,1.387818357331864e-05
2,6.782708457829171e-06
3,4.0178243889648136e-06
4,4.037178285890307e-06
5,2.787005287090351e-06
6,2.376810090090415e-06
7,1.9904637961673947e-06
8,2.89440323214531e-06
9,4.168477346660937e-06
10,5.610609089291506e-06
11,5.772898550587706e-06
12,7.848135423631141e-06
13,7.837026699018692e-06
14,4.962593441673235e-06
15,2.5402213185713867e-06
16,1.7678997320670123e-06
17,1.8400395131763936e-06
18,1.631066843784082e-06
19,1.5396848651241927e-06
20,1.417607548504834e-06
21,9.528867464722373e-07
22,2.5746354009184746e-06
23,3.5064610988885066e-06
24,4.431574766546303e-06
25,1.0873710783842223e-06
26,3.445361476374686e-06
27,1.3092788626331149e-06
28,2.869734764680566e-06
29,1.5237028874263287e-06
30,5.255875208049486e-06
31,5.291093950683475e-06
32,3.17949589175634e-06
33,9.428328704624167e-08
34,3.1756037853790644e-06
35,7.928617692268429e-06
36,1.9263740915684222e-06
37,6.299156665297118e-06
38,5.726464313166335e-06
39,5.586524372465127e-06
40,5.961257399666776e-07
41,6.924059594641066e-06
42,5.663331954681896e-06
43,2.443149614979873e-06
44,4.045656324284743e-06
45,1.2870419792257305e-06
46,7.677545662822906e-06
47,3.136886885100661e-06
48,6.962699590523469e-06
49,7.792828359076405e-06
50,4.443164095446544e-06
51,4.479774399578209e-06
52,6.262891773546077e-06
53,5.228090428645482e-06
54,5.0520712225250676e-06
55,4.525688908519783e-06
56,2.599652080922795e-06
57,4.26241825122081e-06
58,1.7941439761450861e-06
59,2.0136207227263355e-06
60,5.332747476664745e-06
61,1.399975500980348e-06
62,3.163982280222602e-06
63,6.248499467011594e-06
64,6.7730977460108535e-06
65,2.568726634444269e-06
66,1.0435553392455446e-06
67,1.2430295077908447e-05
68,8.883942805576539e-06
69,1.0390196678031607e-05
70,7.630019860130631e-06
71,8.533338462605413e-06
72,5.825352018890691e-06
73,7.8486881375826e-06
74,5.2010383074813375e-06
75,3.928461123905654e-06
76,5.9055461797958615e-06
77,3.843780281801959e-06
78,6.931693194540243e-06
79,5.845279150801676e-06
80,6.034825728623467e-06
81,5.937252822909389e-06
82,6.3161144778215824e-06
83,4.804186532607348e-06
84,5.64855656447629e-06
85,3.0387324524224426e-06
86,2.991245254435294e-06
87,5.764718012839732e-06
88,5.440726538509602e-06
89,5.1887114929222865e-06
90,3.931762100382614e-06
91,4.257949849723963e-06
92,4.025169213892485e-06
93,4.64670340884794e-06
94,4.053248910526205e-06
95,2.5944179080379113e-06
96,3.4930898246335184e-06
97,2.0716720843446064e-06
98,3.2228021351789765e-06
99,5.581404364649585e-06
100,6.925741151430264e-06
101,6.022058216755575e-06
102,1.3114247190900238e-06
103,2.7796373670599676e-06
104,8.706254140442671e-06
105,7.779492601288688e-06
106,6.926665886249936e-06
107,4.599028833523373e-06
108,3.4729838160783635e-06
109,1.5229065057391023e-05
110,1.5217737737224085e-05
111,7.987130867142028e-06
112,3.4314582957279864e-06
113,7.63294001589893e-06
114,7.437769476226437e-06
