,0
0,0.00019510366529212368
1,0.00010622438797967082
2,6.391445131953686e-05
3,4.558632613519554e-05
4,3.431931487299947e-05
5,3.269575382745697e-05
6,3.2796637237095816e-05
7,3.673098702980527e-05
8,4.916176791425921e-05
9,8.874067265007726e-05
10,0.0001559715601717204
11,0.00028107592415558077
12,0.0005573218800432398
13,0.001357512439581376
14,0.003810793800899249
15,0.011988160553510532
16,0.04877835485484061
17,0.1546627277779815
18,0.36332148036628054
19,0.30615824649082596
20,0.11560270822601107
21,0.03407235150869289
22,0.0336749880166776
23,0.02278367655139094
24,0.012052995627507902
25,0.004861863412465429
26,0.6595438409785559
27,0.29307787404998425
28,0.01661787621669607
29,0.0020265652696360883
30,0.0009865946381420118
31,0.002573366137296403
32,0.013572385319857357
33,0.010051918688005099
34,0.001186717028286831
35,0.0004025623618116589
36,0.00023544807612304835
37,7.150917822187878e-05
38,2.1417553789770496e-05
39,1.1368913762361197e-05
40,6.206941629129975e-06
41,1.802291419422625e-06
42,4.962560233653663e-07
43,2.038442870800512e-07
44,9.3137358284589e-08
45,3.386731745730256e-08
46,1.343784014832477e-08
47,5.778756164125455e-09
48,2.5658827535332704e-09
49,9.50355721765597e-10
50,3.518118760387416e-10
51,1.75368619758638e-10
52,8.358108809285789e-11
53,3.8467546095869085e-11
54,1.901401793542838e-11
55,9.055549195084722e-12
56,4.177261819465141e-12
57,2.071299098779501e-12
58,9.28918184086309e-13
59,5.641896575757479e-13
60,2.897653203634429e-13
61,1.6101762373138166e-13
62,9.039549586514433e-14
63,5.098297330932174e-14
64,2.6890500805407718e-14
65,1.6512072320765255e-14
66,9.417731819484193e-15
67,6.288933502953958e-15
68,3.899437099223512e-15
69,2.4209968795765433e-15
70,1.5463194289170726e-15
71,1.036974050348605e-15
72,6.591067315758673e-16
73,4.748483556558278e-16
74,3.209401274407589e-16
75,2.328082693428788e-16
76,1.6670380920876934e-16
77,1.208549664604194e-16
78,9.122993518557635e-17
79,6.505676277689417e-17
80,5.162053162220631e-17
81,4.149824044960453e-17
82,3.250768513953625e-17
83,2.6508309481814587e-17
84,2.1754733168659156e-17
85,1.8088153050567024e-17
86,1.540914786228849e-17
87,1.3376212478681395e-17
88,1.1254250913119539e-17
89,1.0604142703104437e-17
90,9.72040513337575e-18
91,9.035902561548796e-18
92,8.378108095343488e-18
93,7.9187380793832e-18
94,7.765582960012179e-18
95,7.499876517237017e-18
96,7.60312136963705e-18
97,7.954098634938186e-18
98,7.998187294354402e-18
99,8.72234405161095e-18
100,9.232103343005358e-18
101,1.0260945382895095e-17
102,1.1088792533254883e-17
103,1.2887952126259927e-17
104,1.4880194493978642e-17
105,1.727552614025249e-17
106,2.063083860592219e-17
107,2.440158314715308e-17
108,3.0165289789808076e-17
109,3.9080233900842715e-17
110,4.8539348794787204e-17
111,6.52322024035811e-17
112,8.656505578703998e-17
113,1.1885141492984008e-16
114,1.6546238237401511e-16
115,2.1955718263325103e-16
116,3.156775413010885e-16
117,4.746258774685277e-16
118,7.276817482304609e-16
119,1.1307422772845338e-15
120,1.7316118400337988e-15
121,2.895938099426031e-15
122,4.642222547249281e-15
123,8.130495841264061e-15
124,1.3545373313976679e-14
125,2.474676941802692e-14
126,4.5938500188088576e-14
127,8.427343237800491e-14
128,1.6721623877930372e-13
129,3.3285582644078593e-13
130,6.772028421155999e-13
131,1.286315872448889e-12
132,3.029615134220946e-12
133,6.444818122527427e-12
134,1.5759723944575734e-11
135,3.27731648196963e-11
136,9.14048793132922e-11
137,2.1574453990336463e-10
138,5.96572092004958e-10
139,1.7089195715326884e-09
140,5.418794772918575e-09
141,1.7924353192816663e-08
142,6.0772248083959e-08
143,1.9445164913981973e-07
144,8.881378025182419e-07
145,3.78213271710553e-06
146,1.7522087842071788e-05
147,9.697199227608207e-05
148,0.0005356247675946497
149,0.0034199206228072276
150,0.028338579206116293
151,0.15960976669404062
152,0.38650147720253136
153,0.3465845419623407
154,0.06814281672995473
155,0.007301786360329562
156,0.0012877324753532515
157,0.002948874669990937
158,0.007750364416239505
159,0.020699204210992167
160,0.039057275509052435
161,0.079374027295437
162,0.1865908864899201
163,0.20739462805247286
164,0.18977494049916402
165,0.11671798491363222
166,0.047306031684450967
167,0.018171019862923035
168,0.016835816165046393
169,0.04504815845732538
170,0.23466037142450358
171,0.5806090145364314
172,0.10935018979332489
173,0.018326166089804766
174,0.0033850281883028516
175,0.000718259310892318
176,0.0002213326940390164
177,8.320195162797201e-05
178,4.2597722371931206e-05
179,2.6221589963724976e-05
180,1.971167122702539e-05
181,1.7715312140179835e-05
182,1.7897725105052016e-05
183,2.2353174867250486e-05
184,3.067081525295163e-05
185,4.411167284646093e-05
186,8.667445985810983e-05
187,0.00017309854126661074
188,0.00045521812487986564
189,0.0012785222249328888
190,0.005604749120727707
191,0.03318325438131001
192,0.1781551914825206
193,0.4416651838382809
194,0.2624140390068216
195,0.08165522381591146
196,0.026475307680009337
197,0.026078794444376514
198,0.022514954541963856
199,0.00961866474110939
200,0.003783455652687427
201,0.811832022061056
202,0.15875211811930906
203,0.009105541856147054
204,0.0010866342353453766
205,0.0004207444904505549
206,0.0013727554724576212
207,0.01004038897933652
208,0.006151144721325089
209,0.0007851186399870395
210,0.0002535143391832235
211,0.00015832199217403616
212,5.637960310775611e-05
213,1.8167579154692344e-05
214,8.60373176415806e-06
215,4.1146925063483155e-06
216,1.1643898856036317e-06
217,3.2177144836886105e-07
218,1.3678286568556234e-07
219,6.4213794084152e-08
220,2.3560545877869065e-08
221,9.058427264419102e-09
222,4.427050391039975e-09
223,1.7205138218275647e-09
224,6.368884562914886e-10
225,2.575651518403288e-10
226,1.1236758869619526e-10
227,5.2051728141617896e-11
228,2.3139079959441925e-11
229,1.0782302444135876e-11
230,5.283074000347841e-12
231,2.462394840598581e-12
232,1.1973987172482316e-12
233,5.843080761706829e-13
234,3.116281301916605e-13
235,1.672112197941604e-13
236,9.166344900919773e-14
237,5.1247606742405434e-14
238,2.7847921652229213e-14
239,1.5469413686741155e-14
240,9.153243600117967e-15
241,5.721822138797908e-15
242,3.4646385914409e-15
243,2.158300727725992e-15
244,1.3873303986238826e-15
245,9.022654536959845e-16
246,5.861394788696712e-16
247,3.9819018574324614e-16
248,2.545276946811877e-16
249,1.8820789574903742e-16
250,1.3259427836158128e-16
251,9.602564806460858e-17
252,7.040200364967218e-17
253,5.3353311451566616e-17
254,3.883824690108598e-17
255,3.029188949723714e-17
256,2.3815398920263634e-17
257,1.9938194719028926e-17
258,1.6371276948608623e-17
259,1.3634639936030359e-17
260,1.1398186737376427e-17
261,9.798551529620275e-18
262,8.47735488772108e-18
263,6.822723903883813e-18
264,6.7227019808050615e-18
265,6.311782128349221e-18
266,5.713000601607536e-18
267,5.466012798188463e-18
268,5.385506894668804e-18
269,5.224830252691706e-18
270,5.293115365840625e-18
271,5.377992393970953e-18
272,5.359113421840892e-18
273,5.8128772797514916e-18
274,6.237409328556832e-18
275,6.710534148865656e-18
276,7.033828776616361e-18
277,7.970613304526956e-18
278,9.540523718587791e-18
279,1.1207727641815263e-17
280,1.3329219411328061e-17
281,1.5780758671951405e-17
282,1.9597986367010548e-17
283,2.4860195965103726e-17
284,3.23123394917512e-17
285,4.199426719032623e-17
286,5.5264436370796754e-17
287,7.428438036425272e-17
288,1.0502463954218151e-16
289,1.48157001667605e-16
290,2.1098361708015678e-16
291,3.064676840922146e-16
292,4.408172796405802e-16
293,6.680977100360668e-16
294,1.074736751697673e-15
295,1.6550598498553252e-15
296,2.85831908027416e-15
297,4.703532506179444e-15
298,8.39688958658173e-15
299,1.4702063000529544e-14
300,2.6772182570441285e-14
301,5.068012544592173e-14
302,9.546811201919029e-14
303,1.8778966647350604e-13
304,3.6967501275350147e-13
305,8.081008375879206e-13
306,1.5717748588127076e-12
307,3.7846801278725374e-12
308,8.241986551306622e-12
309,2.0505328807948666e-11
310,4.981625345835608e-11
311,1.273934657553398e-10
312,3.442312736987383e-10
313,9.571192642349e-10
314,2.6873377475672623e-09
315,8.708698685256922e-09
316,2.844444291921721e-08
317,9.440217745660288e-08
318,3.129904935313393e-07
319,1.2251081547393864e-06
320,5.358239066680363e-06
321,2.4463062022042432e-05
322,0.0001217808665508417
323,0.0007207228050369149
324,0.004985893731741478
325,0.029765120432992554
326,0.1364850813454879
327,0.36991578407441555
328,0.3903837191424151
329,0.05822308296270599
330,0.010025036979609084
331,0.0021170345118003355
332,0.0055958989731074
333,0.014007471922657166
334,0.03200777811089093
335,0.07229606171983995
336,0.11442418935758089
337,0.15873390822788716
338,0.1640072276471231
339,0.11513012422696021
340,0.07556238823687396
341,0.047744296509275086
342,0.023740041560282525
343,0.030125349788326188
344,0.14058122622557748
345,0.42369827703966834
346,0.2707149775242089
347,0.11955386619112614
348,0.020359495447812417
349,0.0035611662765587908
350,0.0009452642249839096
351,0.00028254360016537867
352,0.0001360547316993745
353,6.913581811565661e-05
354,4.5281714684431104e-05
355,3.343931270419125e-05
356,3.06562735755298e-05
357,3.7172656348201926e-05
358,4.258861328924472e-05
359,5.5371950455790415e-05
360,8.569167693905355e-05
