,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,l2,0,64,57,453.74603174603175,0.07936507936507936,0.8333333333333334,0.14492753623188404,0.8498474645166514,"[ 110  190  260  360  435  505  715  790  860  955 1155 1215 1400 1635
 1740 1845 1960 2110 2190 2405 2470 2715 2785 2945 3175 3340 3490 3580
 3755 3950 4115 4470 4580 4770 4900 5030 5155 5325 5395 5490 5595 5810
 5940 6045 6130 6380 6445 6525 6620 6705 6815 6930 6990 7115 7365 7465
 7575 7680 7820 7965 8025 8145 8210 8483]"
1,WIN,l2,1,5,2,0.75,1.0,0.6666666666666666,0.8,0.9273410458225672,[ 955 2945 4115 7365 8483]
