,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,clinear,0,57,50,442.75,0.08928571428571429,0.8333333333333334,0.16129032258064516,0.8897789337820228,"[  85  160  225  300  475  625  765  865 1145 1230 1330 1495 1585 1655
 1730 1850 1960 2090 2165 2335 2475 2575 2735 2885 2985 3140 3205 3315
 3415 3515 3880 4095 6040 6140 6240 6310 6370 6545 6645 6740 6835 6960
 7060 7240 7320 7395 7515 7600 7700 7805 7885 7975 8105 8160 8285 8360
 8483]"
1,WIN,clinear,1,57,50,442.75,0.08928571428571429,0.8333333333333334,0.16129032258064516,0.8897789337820228,"[  85  160  225  300  475  625  765  865 1145 1230 1330 1495 1585 1655
 1730 1850 1960 2090 2165 2335 2475 2575 2735 2885 2985 3140 3205 3315
 3415 3515 3880 4095 6040 6140 6240 6310 6370 6545 6645 6740 6835 6960
 7060 7240 7320 7395 7515 7600 7700 7805 7885 7975 8105 8160 8285 8360
 8483]"
