,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,ar,0,65,58,449.25,0.09375,1.0,0.17142857142857143,0.8497283727088324,"[ 110  180  235  435  505  580  715  790  860  950 1155 1215 1320 1405
 1480 1635 1760 1845 1970 2095 2180 2335 2405 2550 2615 2715 2830 2945
 3210 3310 3430 3490 3720 3835 4115 4260 4470 4545 4625 4770 4895 5030
 5085 5235 5390 5470 5595 5815 5875 6070 6250 6330 6565 6780 6960 7035
 7165 7365 7575 7640 7710 7975 8255 8310 8483]"
1,WIN,ar,1,46,39,442.46666666666664,0.1111111111111111,0.8333333333333334,0.19607843137254902,0.9090232805585237,"[  50  110  180  235  435  505  580  715  790  860  950 1155 1215 1320
 1405 1480 1635 1760 1845 1970 2095 2180 2335 2405 2550 2615 2715 2830
 2945 4115 6070 6250 6330 6565 6780 6960 7035 7165 7365 7575 7640 7710
 7975 8255 8310 8483]"
