,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,normal,0,301,284,423.6433333333333,0.05333333333333334,1.0,0.10126582278481014,0.9462022927650756,"[  100   135   230   310   330   395   435   505   530   590   615   725
   755   780   785   860   940   970  1005  1055  1060  1080  1140  1175
  1195  1230  1295  1310  1330  1410  1455  1475  1505  1590  1600  1670
  1720  1780  1805  1850  1900  1945  2030  2085  2140  2180  2185  2255
  2300  2315  2320  2405  2410  2470  2535  2555  2600  2645  2700  2880
  2905  3000  3010  3155  3195  3200  3225  3275  3290  3335  3385  3445
  3480  3565  3570  3600  3625  3665  3725  3840  3855  3870  3930  4090
  4180  4190  4285  4310  4385  4455  4495  4525  4590  4695  4730  4735
  4775  4855  4875  4935  5080  5095  5145  5170  5245  5255  5355  5390
  5480  5585  5590  5595  5650  5720  5725  5835  5890  5950  5960  6005
  6040  6065  6110  6190  6225  6260  6300  6350  6410  6425  6445  6555
  6665  6690  6790  6825  6880  6920  6945  7075  7105  7115  7135  7200
  7255  7285  7390  7395  7435  7530  7540  7635  7665  7670  7820  7830
  7865  7955  7985  7990  8015  8085  8135  8145  8245  8315  8385  8415
  8505  8515  8570  8620  8630  8640  8760  8800  8810  8840  8895  8940
  9000  9045  9085  9090  9130  9145  9250  9330  9335  9400  9445  9475
  9520  9565  9645  9655  9755  9800  9820  9915  9925  9935 10020 10085
 10100 10195 10210 10285 10310 10330 10365 10395 10465 10550 10575 10670
 10675 10685 10735 10745 10835 10870 10945 11000 11045 11080 11140 11175
 11190 11215 11320 11330 11385 11500 11510 11550 11565 11625 11645 11725
 11730 11760 11870 11885 11925 11980 12005 12090 12135 12235 12250 12325
 12340 12385 12460 12465 12525 12540 12560 12645 12690 12745 12755 12805
 12810 12815 12870 12875 12895 13025 13035 13040 13095 13175 13180 13185
 13260 13280 13345 13355 13410 13520 13555 13650 13700 13730 13745 13865
 13880 13950 13970 13985 14025 14055 14125 14150 14175 14270 14290 14350
 14401]"
1,WIN,normal,1,158,141,461.3312101910828,0.10191082802547771,1.0,0.18497109826589597,0.9514756247614354,"[  100   135   230   330   395   435   530   590   725   755   785   860
   940   970  1080  1175  1195  1230  1295  1330  1455  1590  1720  1780
  1850  1945  2030  2140  2185  2255  2300  2320  2405  2470  2555  2645
  2700  2905  3000  3010  3195  3275  3445  3565  3625  3725  3840  3930
  4090  4180  4190  4310  4385  4455  4730  4875  4935  5095  5145  5170
  5245  5255  5390  5585  5595  5650  5720  5835  5890  5960  6190  6410
  6665  6690  6790  6880  6945  7075  7135  7200  7285  7955  7985  7990
  8015  8085  8135  8145  8245  8385  8505  8515  8570  8620  8640  8760
  8840  8895  9045  9085  9130  9145  9400  9520  9645 10195 10310 10395
 10575 10675 10685 10745 10835 10870 10945 11000 11045 11080 11175 11190
 11330 11385 11500 11565 11625 11885 11925 12005 12090 12135 12325 12460
 12465 12525 12540 12645 12690 12745 12805 12870 13035 13180 13280 13345
 13520 13700 13730 13745 13865 13880 13950 13985 14025 14125 14150 14270
 14350 14401]"
