,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,l2,2,27,10,182.65384615384616,0.5769230769230769,0.9375,0.7142857142857143,0.9591793097834632,"[  110  2150  2660  3010  3015  4095  4105  4765  5585  5595  5620  6665
  6670  6675  7995  8005  8525  9055  9520 10220 10705 11205 11890 12470
 13000 13725 14401]"
1,WIN,l2,3,12,5,67.9090909090909,0.7272727272727273,0.5,0.5925925925925926,0.9636446617963715,[ 3015  4095  5585  5620  6665  6675  7995  9520 10220 11890 13000 14401]
